;success;timestamp;base;date;rates
SBD;True;1657670399;EUR;2022-07-13;8.177919
SCR;True;1657670399;EUR;2022-07-13;12.855841
SDG;True;1657670399;EUR;2022-07-13;457.496989
SEK;True;1657670399;EUR;2022-07-13;10.677477
SGD;True;1657670399;EUR;2022-07-13;1.410055
SHP;True;1657670399;EUR;2022-07-13;1.380434
SLL;True;1657670399;EUR;2022-07-13;13198.971844
SOS;True;1657670399;EUR;2022-07-13;585.780658
SRD;True;1657670399;EUR;2022-07-13;22.520427
STD;True;1657670399;EUR;2022-07-13;20743.513019
SVC;True;1657670399;EUR;2022-07-13;8.832826
SZL;True;1657670399;EUR;2022-07-13;17.158195
THB;True;1657670399;EUR;2022-07-13;36.330201
TJS;True;1657670399;EUR;2022-07-13;10.625003
TMT;True;1657670399;EUR;2022-07-13;3.517721
TND;True;1657670399;EUR;2022-07-13;3.070238
TOP;True;1657670399;EUR;2022-07-13;2.356871
TRY;True;1657670399;EUR;2022-07-13;17.397387
TTD;True;1657670399;EUR;2022-07-13;6.860937
TWD;True;1657670399;EUR;2022-07-13;29.978812
TZS;True;1657670399;EUR;2022-07-13;2341.328981
UAH;True;1657670399;EUR;2022-07-13;29.824137
UGX;True;1657670399;EUR;2022-07-13;3804.732989
USD;True;1657670399;EUR;2022-07-13;1.0022
UYU;True;1657670399;EUR;2022-07-13;40.647178
UZS;True;1657670399;EUR;2022-07-13;11023.898662
VND;True;1657670399;EUR;2022-07-13;23425.418794
XAF;True;1657670399;EUR;2022-07-13;654.754784
XAG;True;1657670399;EUR;2022-07-13;0.05254
XAU;True;1657670399;EUR;2022-07-13;0.000578
XCD;True;1657670399;EUR;2022-07-13;2.708495
XDR;True;1657670399;EUR;2022-07-13;0.7665
XOF;True;1657670399;EUR;2022-07-13;654.761305
XPF;True;1657670399;EUR;2022-07-13;113.398978
YER;True;1657670399;EUR;2022-07-13;250.800194
ZAR;True;1657670399;EUR;2022-07-13;17.181697
ZMK;True;1657670399;EUR;2022-07-13;9021.00188
ZMW;True;1657670399;EUR;2022-07-13;16.479823
ZWL;True;1657670399;EUR;2022-07-13;322.707936
